ticker,date,adjusted
DBC,2010-01-04,22.05702781677246
DBC,2010-01-05,22.083242416381836
DBC,2010-01-06,22.47649383544922
DBC,2010-01-07,22.196847915649414
DBC,2010-01-08,22.179370880126953
DBC,2010-01-11,22.109458923339844
DBC,2010-01-12,21.63755989074707
DBC,2010-01-13,21.6550350189209
DBC,2010-01-14,21.54142951965332
DBC,2010-01-15,21.29673957824707
DBC,2010-01-19,21.43656349182129
DBC,2010-01-20,21.034570693969727
DBC,2010-01-21,20.772403717041016
DBC,2010-01-22,20.553932189941406
DBC,2010-01-25,20.650060653686523
DBC,2010-01-26,20.422847747802734
DBC,2010-01-27,20.1257266998291
DBC,2010-01-28,20.055814743041992
DBC,2010-01-29,19.828601837158203
DBC,2010-02-01,20.309240341186523
DBC,2010-02-02,20.746187210083008
DBC,2010-02-03,20.492759704589844
DBC,2010-02-04,19.811124801635742
DBC,2010-02-05,19.557693481445313
DBC,2010-02-08,19.566434860229492
DBC,2010-02-09,19.915990829467773
DBC,2010-02-10,19.994640350341797
DBC,2010-02-11,20.2305908203125
DBC,2010-02-12,20.116985321044922
DBC,2010-02-16,20.728710174560547
DBC,2010-02-17,20.623844146728516
DBC,2010-02-18,20.80735969543457
DBC,2010-02-19,20.929706573486328
DBC,2010-02-22,20.816099166870117
DBC,2010-02-23,20.475282669067383
DBC,2010-02-24,20.64132308959961
DBC,2010-02-25,20.291763305664063
DBC,2010-02-26,20.650060653686523
DBC,2010-03-01,20.440324783325195
DBC,2010-03-02,20.658798217773438
DBC,2010-03-03,20.85979461669922
DBC,2010-03-04,20.67627716064453
DBC,2010-03-05,20.92096710205078
DBC,2010-03-08,20.894750595092773
DBC,2010-03-09,20.667537689208984
DBC,2010-03-10,20.728710174560547
DBC,2010-03-11,20.67627716064453
DBC,2010-03-12,20.553932189941406
DBC,2010-03-15,20.309240341186523
DBC,2010-03-16,20.580148696899414
DBC,2010-03-17,20.763668060302734
DBC,2010-03-18,20.719968795776367
DBC,2010-03-19,20.466541290283203
DBC,2010-03-22,20.466541290283203
DBC,2010-03-23,20.379154205322266
DBC,2010-03-24,20.151939392089844
